"WTStation","Station","VegDate","Plot","Distance","Depth","year","SDD"
"AM:401:SW","AM-401-SW",2017-06-23,"N",40,9,2017,"AM-401-SW-N-40"
"AM:401:SW","AM-401-SW",2017-06-23,"N",50,8,2017,"AM-401-SW-N-50"
"AM:401:SW","AM-401-SW",2017-06-23,"E",10,0,2017,"AM-401-SW-E-10"
"AM:401:SW","AM-401-SW",2017-06-23,"E",20,2,2017,"AM-401-SW-E-20"
"AM:401:SW","AM-401-SW",2017-06-23,"E",30,0,2017,"AM-401-SW-E-30"
"AM:401:SW","AM-401-SW",2017-06-23,"E",40,0,2017,"AM-401-SW-E-40"
"AM:401:SW","AM-401-SW",2017-06-23,"E",50,5,2017,"AM-401-SW-E-50"
"AM:401:SW","AM-401-SW",2017-06-23,"S",10,0,2017,"AM-401-SW-S-10"
"AM:401:SW","AM-401-SW",2017-06-23,"S",20,4,2017,"AM-401-SW-S-20"
"AM:401:SW","AM-401-SW",2017-06-23,"S",30,2,2017,"AM-401-SW-S-30"
"AM:401:SW","AM-401-SW",2017-06-23,"S",40,0,2017,"AM-401-SW-S-40"
"AM:401:SW","AM-401-SW",2017-06-23,"S",50,7,2017,"AM-401-SW-S-50"
"AM:401:SW","AM-401-SW",2017-06-23,"W",10,0,2017,"AM-401-SW-W-10"
"AM:401:SW","AM-401-SW",2017-06-23,"W",20,10,2017,"AM-401-SW-W-20"
"AM:401:SW","AM-401-SW",2017-06-23,"W",30,7,2017,"AM-401-SW-W-30"
"AM:401:SW","AM-401-SW",2017-06-23,"W",40,6,2017,"AM-401-SW-W-40"
"AM:401:SW","AM-401-SW",2017-06-23,"W",50,1,2017,"AM-401-SW-W-50"
"AM:403:CT","AM-403-CT",2014-07-11,"N",10,18,2014,"AM-403-CT-N-10"
"AM:403:CT","AM-403-CT",2014-07-11,"N",20,18,2014,"AM-403-CT-N-20"
"AM:403:CT","AM-403-CT",2014-07-11,"N",30,29,2014,"AM-403-CT-N-30"
"AM:403:CT","AM-403-CT",2014-07-11,"N",40,24,2014,"AM-403-CT-N-40"
"AM:403:CT","AM-403-CT",2014-07-11,"N",50,8,2014,"AM-403-CT-N-50"
"AM:403:CT","AM-403-CT",2014-07-11,"E",10,0,2014,"AM-403-CT-E-10"
"AM:403:CT","AM-403-CT",2014-07-11,"E",20,15,2014,"AM-403-CT-E-20"
"AM:403:CT","AM-403-CT",2014-07-11,"E",30,35,2014,"AM-403-CT-E-30"
"AM:403:CT","AM-403-CT",2014-07-11,"E",40,22,2014,"AM-403-CT-E-40"
"AM:403:CT","AM-403-CT",2014-07-11,"E",50,31,2014,"AM-403-CT-E-50"
"AM:403:CT","AM-403-CT",2015-06-19,"N",10,0,2015,"AM-403-CT-N-10"
"AM:403:CT","AM-403-CT",2015-06-19,"N",20,0,2015,"AM-403-CT-N-20"
"AM:403:CT","AM-403-CT",2015-06-19,"N",30,0,2015,"AM-403-CT-N-30"
"AM:403:CT","AM-403-CT",2015-06-19,"N",40,0,2015,"AM-403-CT-N-40"
"AM:403:CT","AM-403-CT",2015-06-19,"N",50,0,2015,"AM-403-CT-N-50"
"AM:403:CT","AM-403-CT",2015-06-19,"E",10,23,2015,"AM-403-CT-E-10"
"AM:403:CT","AM-403-CT",2015-06-19,"E",20,8,2015,"AM-403-CT-E-20"
"AM:403:CT","AM-403-CT",2015-06-19,"E",30,11,2015,"AM-403-CT-E-30"
"AM:403:CT","AM-403-CT",2015-06-19,"E",40,14,2015,"AM-403-CT-E-40"
"AM:403:CT","AM-403-CT",2015-06-19,"E",50,21,2015,"AM-403-CT-E-50"
"AM:403:CT","AM-403-CT",2015-06-19,"S",10,0,2015,"AM-403-CT-S-10"
"AM:403:CT","AM-403-CT",2015-06-19,"S",20,0,2015,"AM-403-CT-S-20"
"AM:403:CT","AM-403-CT",2015-06-19,"S",30,0,2015,"AM-403-CT-S-30"
"AM:403:CT","AM-403-CT",2015-06-19,"S",40,0,2015,"AM-403-CT-S-40"
"AM:403:CT","AM-403-CT",2015-06-19,"S",50,0,2015,"AM-403-CT-S-50"
"AM:403:CT","AM-403-CT",2015-06-19,"W",10,0,2015,"AM-403-CT-W-10"
"AM:403:CT","AM-403-CT",2015-06-19,"W",20,0,2015,"AM-403-CT-W-20"
"AM:403:CT","AM-403-CT",2015-06-19,"W",30,0,2015,"AM-403-CT-W-30"
"AM:403:CT","AM-403-CT",2015-06-19,"W",40,0,2015,"AM-403-CT-W-40"
"AM:403:CT","AM-403-CT",2015-06-19,"W",50,0,2015,"AM-403-CT-W-50"
"AM:403:NE","AM-403-NE",2014-07-11,"C",0,0,2014,"AM-403-NE-C-0"
"AM:403:NE","AM-403-NE",2014-07-11,"N",10,0,2014,"AM-403-NE-N-10"
"AM:403:NE","AM-403-NE",2014-07-11,"N",20,0,2014,"AM-403-NE-N-20"
"AM:403:NE","AM-403-NE",2014-07-11,"N",30,0,2014,"AM-403-NE-N-30"
"AM:403:NE","AM-403-NE",2014-07-11,"N",40,0,2014,"AM-403-NE-N-40"
"AM:403:NE","AM-403-NE",2014-07-11,"N",50,0,2014,"AM-403-NE-N-50"
"AM:403:NE","AM-403-NE",2014-07-11,"E",10,0,2014,"AM-403-NE-E-10"
"AM:403:NE","AM-403-NE",2014-07-11,"E",20,0,2014,"AM-403-NE-E-20"
