richardSS(mess),embSS,year,sample,occupied,region,wetland
Y:240:11:NE,Y-240-11-NE,2015,1,0,unmineable,NA
Y:240:11:NW,Y-240-11-NW,2013,1,0,unmineable,NA
Y:240:11:NW,Y-240-11-NW,2015,1,0,unmineable,NA
Y:240:11:SE,Y-240-11-SE,2013,1,0,unmineable,NA
Y:240:11:SE,Y-240-11-SE,2015,1,0,unmineable,NA
Y:240:11:SW,Y-240-11-SW,2013,1,0,unmineable,NA
Y:240:11:SW,Y-240-11-SW,2015,1,0,unmineable,NA
Y:241:24:A,Y-241-24-A,2015,1,0,west,NA
Y:241:24:A,Y-241-24-A,2016,1,0,west,NA
Y:241:24:A,Y-241-24-A,2017,1,0,west,NA
Y:241:24:A,Y-241-24-A,2019,1,0,west,NA
Y:242:24:A,Y-242-24-A,2015,1,0,west,NA
Y:242:24:A,Y-242-24-A,2017,1,0,west,NA
Y:242:24:A,Y-242-24-A,2018,1,0,west,NA
Y:242:24:A,Y-242-24-A,2019,1,0,west,NA
Y:242:24:B,Y-242-24-B,2015,1,0,west,NA
Y:242:24:B,Y-242-24-B,2016,1,0,west,NA
Y:242:24:B,Y-242-24-B,2017,1,0,west,NA
Y:242:24:B,Y-242-24-B,2019,1,0,west,NA
Y:242:24:C,Y-242-24-C,2015,1,0,west,NA
Y:242:24:C,Y-242-24-C,2017,1,0,west,NA
Y:242:24:C,Y-242-24-C,2018,1,0,west,NA
Y:242:24:C,Y-242-24-C,2019,1,0,west,NA
Y:243:24:A,Y-243-24-A,2015,1,0,west,NA
Y:243:24:A,Y-243-24-A,2016,1,0,west,NA
Y:243:24:A,Y-243-24-A,2017,1,0,west,NA
Y:243:24:A,Y-243-24-A,2018,1,0,west,NA
Y:243:24:B,Y-243-24-B,2015,1,0,west,NA
Y:243:24:B,Y-243-24-B,2016,1,0,west,NA
Y:243:24:B,Y-243-24-B,2017,1,0,west,NA
Y:243:24:B,Y-243-24-B,2018,1,0,west,NA
Y:243:24:C,Y-243-24-C,2015,1,0,west,NA
Y:243:24:C,Y-243-24-C,2016,1,0,west,NA
Y:243:24:C,Y-243-24-C,2017,1,0,west,NA
Y:243:24:C,Y-243-24-C,2018,1,0,west,NA
Y:243:24:D,Y-243-24-D,2015,1,0,west,NA
Y:243:24:D,Y-243-24-D,2016,1,0,west,NA
Y:243:24:D,Y-243-24-D,2017,1,0,west,NA
Y:243:24:D,Y-243-24-D,2018,1,0,west,NA
Y:24:243:D,Y-243-24-D,2021,1,0,west,
Y:245:24:G,Y-245-24-G,2015,1,0,west,NA
Y:245:24:G,Y-245-24-G,2017,1,0,west,NA
Y:245:24:G,Y-245-24-G,2018,1,0,west,NA
Y:245:24:G,Y-245-24-G,2019,1,0,west,NA
Y:245:24:H,Y-245-24-H,2015,1,0,west,NA
