"UID","ss","year","sample","occupied","region_x","wetland_x","data_set","site","station","latit","longit","mineable","lapr","mclelland","B2","B3","B4","B5","B6","B7","NBR","NDVI","NDWI","TCB","TCwet","presence"
"AM:414:CT-2017","AM:414:CT",2017,1,0,"west",NA,"AM",414,"CT",57.513788,-111.34433,1,1,"west",312.689699952156,584.711776365252,412.897751349874,2702.3099583077,1514.07778005605,752.521051192673,0.572222703054072,0.733148851757879,0.287307132392211,2865.12111060078,-479.753254353769,"absent"
"AM:414:CT-2018","AM:414:CT",2018,4,0,"west",NA,"AM",414,"CT",57.513788,-111.34433,1,1,"west",286.383705830087,542.397922219944,361.570022554849,2668.94163078395,1502.61321850865,761.476454104299,0.556347103672453,0.758259635700514,0.281918949500469,2809.20510358827,-514.909000348575,"absent"
"AM:414:CT-2019","AM:414:CT",2019,3,0,"west",NA,"AM",414,"CT",57.513788,-111.34433,1,1,"west",305.230435376939,567.518522315631,381.758902330668,2632.00191374479,1454.92204907388,715.214100198209,0.57155613689916,0.738488231579674,0.290444683977397,2796.61990025972,-451.753916919554,"absent"
"AM:414:NE-2013","AM:414:NE",2013,1,NA,"west",NA,"AM",414,"NE",57.51591,-111.34007,1,1,"west",294.524851761423,531.549332926404,371.274481164981,2217.0359478549,1314.10200122079,669.388101674224,0.590466397124163,0.71303585724451,0.322443419211146,2603.45849194498,-351.011402642135,NA
"AM:414:NE-2014","AM:414:NE",2014,4,NA,"west",NA,"AM",414,"NE",57.51591,-111.34007,1,1,"west",292.213289152424,601.388210673177,411.824904080921,2490.040416812,1392.04102720614,689.512295081967,0.595409271497322,0.715044951624453,0.313332717816329,2731.78069301535,-378.138951796303,NA
"AM:414:NE-2015","AM:414:NE",2015,4,0,"west",NA,"AM",414,"NE",57.51591,-111.34007,1,1,"west",327.469109696547,537.429543076386,545.821023718172,1869.47124607604,1447.62979595396,832.907263690268,0.394018816701577,0.528649966354944,0.145689137564874,2445.28848133938,-634.722168584322,"absent"
"AM:414:NE-2016","AM:414:NE",2016,1,NA,"west",NA,"AM",414,"NE",57.51591,-111.34007,1,1,"west",339.787408440879,576.008240320893,467.277271538193,2110.47741541681,1424.33562957796,736.747667422393,0.471449679097035,0.606639334661701,0.249154030004296,2588.56414042335,-473.280042049616,NA
"AM:414:NE-2017","AM:414:NE",2017,2,0,"west",NA,"AM",414,"NE",57.51591,-111.34007,1,1,"west",284.898827171259,566.713659748866,395.445326124869,2739.92232734566,1433.36154952912,701.855249389606,0.59691008198571,0.746519795955163,0.31709266018498,2815.53239663193,-405.757164141524,"absent"
"AM:414:NE-2018","AM:414:NE",2018,2,0,"west",NA,"AM",414,"NE",57.51591,-111.34007,1,1,"west",266.845919079177,530.199380885944,349.248081618416,2664.67003836763,1409.02219218695,704.612704918033,0.580226849557986,0.762223464904927,0.30933649481294,2733.47581990757,-432.577160232822,"absent"
"AM:414:NE-2019","AM:414:NE",2019,3,0,"west",NA,"AM",414,"NE",57.51591,-111.34007,1,1,"west",276.909574468085,557.405912103244,373.868198465295,2722.4203435647,1393.53113010115,669.179412277642,0.604743961105789,0.753835961599466,0.324945970926659,2792.1446603113,-371.218109548308,"absent"
"AM:414:SE-2013","AM:414:SE",2013,1,NA,"west",NA,"AM",414,"SE",57.51132,-111.3499,1,1,"west",237.658412404536,462.266257810692,312.48368433233,2114.61224253645,1077.99542929877,561.532399907429,0.598853616051253,0.726352369101118,0.353024120807468,2272.613799595,-253.639243398519,NA
"AM:414:SE-2014","AM:414:SE",2014,3,NA,"west",NA,"AM",414,"SE",57.51132,-111.3499,1,1,"west",242.347894006017,521.211177968063,338.024415644527,2112.72379078917,1104.97737792178,539.325040499884,0.590504624471982,0.709272797717123,0.321859120381179,2244.07723011456,-268.347174409859,NA
"AM:414:SE-2015","AM:414:SE",2015,1,0,"west",NA,"AM",414,"SE",57.51132,-111.3499,1,1,"west",363.538590604027,585.338000462856,581.79773200648,2188.89412173108,1595.39244387873,889.432596621153,0.412424462270858,0.561492409957997,0.152380976212974,2751.07883491669,-662.899614979171,"absent"
"AM:414:SE-2016","AM:414:SE",2016,3,0,"west",NA,"AM",414,"SE",57.51132,-111.3499,1,1,"west",438.23536218468,685.541252024994,697.039111316825,2067.98721360796,1676.08852117565,1019.16709095117,0.343447076801182,0.494262167909332,0.114725099410107,2853.74898448854,-741.439161183754,"absent"
"AM:414:SE-2017","AM:414:SE",2017,1,0,"west",NA,"AM",414,"SE",57.51132,-111.3499,1,1,"west",285.657660263828,532.284482758621,385.069081231196,2645.87878963203,1406.33562832678,681.745776440639,0.589898910670886,0.74690332516314,0.3012302479819,2728.9195601539,-419.100064296459,"absent"
"AM:414:SE-2018","AM:414:SE",2018,4,0,"west",NA,"AM",414,"SE",57.51132,-111.3499,1,1,"west",318.079032631335,570.9659800972,431.233047905577,2710.95244156445,1600.62855820412,814.94989585744,0.539654647719802,0.722486378196985,0.261275383591431,2943.06006271696,-566.070856780838,"absent"
"AM:414:SE-2019","AM:414:SE",2019,1,0,"west",NA,"AM",414,"SE",57.51132,-111.3499,1,1,"west",338.519266373525,623.01110853969,493.303806989123,2730.3077412636,1779.63278176348,886.785292756307,0.507718558027716,0.689589480873998,0.213941814667151,3101.20659940407,-689.849084922472,"absent"
"AM:420:NW-2013","AM:420:NW",2013,1,NA,"unmineable",NA,"AM",420,"NW",55.73911,-111.23548,0,1,NA,173.888344507478,398.638731304796,274.316142341413,2043.65291387313,1160.72975760701,572.306343476019,0.561655517657926,0.762798882317703,0.275675203779913,2134.59309110366,-407.254001701908,NA
