location,year,datetime,occupied,region,latitude,longitude
Y-13-249-NE,2016,NA,NOT SURVEYED,UNMINEABLE,54.871339999999996,-111.7867
Y-13-249-NE,2017,NA,NOT SURVEYED,UNMINEABLE,54.871339999999996,-111.7867
Y-13-249-NE,2018,NA,NOT SURVEYED,UNMINEABLE,54.871339999999996,-111.7867
Y-13-249-NE,2019,NA,NOT SURVEYED,UNMINEABLE,54.871339999999996,-111.7867
Y-13-249-NE,2020,NA,NOT SURVEYED,UNMINEABLE,54.871339999999996,-111.7867
Y-13-249-NE,2021,NA,NOT SURVEYED,UNMINEABLE,54.871339999999996,-111.7867
Y-13-249-NE,2013,NA,NOT SURVEYED,UNMINEABLE,54.871339999999996,-111.7867
Y-13-249-NW,2014,NA,NOT SURVEYED,UNMINEABLE,54.87133,-111.7947
Y-13-249-NW,2015,NA,NOT SURVEYED,UNMINEABLE,54.87133,-111.7947
Y-13-249-NW,2016,NA,NOT SURVEYED,UNMINEABLE,54.87133,-111.7947
Y-13-249-NW,2017,NA,NOT SURVEYED,UNMINEABLE,54.87133,-111.7947
Y-13-249-NW,2018,NA,NOT SURVEYED,UNMINEABLE,54.87133,-111.7947
Y-13-249-NW,2019,NA,NOT SURVEYED,UNMINEABLE,54.87133,-111.7947
Y-13-249-NW,2020,NA,NOT SURVEYED,UNMINEABLE,54.87133,-111.7947
Y-13-249-NW,2021,NA,NOT SURVEYED,UNMINEABLE,54.87133,-111.7947
Y-13-249-SE,2014,NA,NOT SURVEYED,UNMINEABLE,54.8663,-111.787
Y-13-249-SE,2015,NA,NOT SURVEYED,UNMINEABLE,54.8663,-111.787
Y-13-249-SE,2016,NA,NOT SURVEYED,UNMINEABLE,54.8663,-111.787
Y-13-249-SE,2017,NA,NOT SURVEYED,UNMINEABLE,54.8663,-111.787
Y-13-249-SE,2018,NA,NOT SURVEYED,UNMINEABLE,54.8663,-111.787
Y-13-249-SE,2019,NA,NOT SURVEYED,UNMINEABLE,54.8663,-111.787
Y-13-249-SE,2020,NA,NOT SURVEYED,UNMINEABLE,54.8663,-111.787
Y-13-249-SE,2021,NA,NOT SURVEYED,UNMINEABLE,54.8663,-111.787
Y-13-249-SE,2013,NA,NOT SURVEYED,UNMINEABLE,54.8663,-111.787
Y-13-249-SW,2014,NA,NOT SURVEYED,UNMINEABLE,54.86589,-111.796
Y-13-249-SW,2015,NA,NOT SURVEYED,UNMINEABLE,54.86589,-111.796
Y-13-249-SW,2016,NA,NOT SURVEYED,UNMINEABLE,54.86589,-111.796
Y-13-249-SW,2017,NA,NOT SURVEYED,UNMINEABLE,54.86589,-111.796
Y-13-249-SW,2018,NA,NOT SURVEYED,UNMINEABLE,54.86589,-111.796
Y-13-249-SW,2019,NA,NOT SURVEYED,UNMINEABLE,54.86589,-111.796
Y-13-249-SW,2020,NA,NOT SURVEYED,UNMINEABLE,54.86589,-111.796
Y-13-249-SW,2021,NA,NOT SURVEYED,UNMINEABLE,54.86589,-111.796
Y-13-249-SW,2013,NA,NOT SURVEYED,UNMINEABLE,54.86589,-111.796
Y-13-250-CT,2014,NA,NOT SURVEYED,UNMINEABLE,54.85707,-111.7901
Y-13-250-CT,2015,NA,NOT SURVEYED,UNMINEABLE,54.85707,-111.7901
Y-13-250-CT,2016,NA,NOT SURVEYED,UNMINEABLE,54.85707,-111.7901
Y-13-250-CT,2017,NA,NOT SURVEYED,UNMINEABLE,54.85707,-111.7901
Y-13-250-CT,2018,NA,NOT SURVEYED,UNMINEABLE,54.85707,-111.7901
Y-13-250-CT,2019,NA,NOT SURVEYED,UNMINEABLE,54.85707,-111.7901
Y-13-250-CT,2020,NA,NOT SURVEYED,UNMINEABLE,54.85707,-111.7901
