"UID","ss","year","sample","occupied","region_x","wetland_x","data_set","site","station","latit","longit","mineable","lapr","mclelland","B2","B3","B4","B5","B6","B7","NBR","NDVI","NDWI","TCB","TCwet","presence","julian"
"AM:414:NE-2017","AM:414:NE",2017,2,0,"west",NA,"AM",414,"NE",57.51591,-111.34007,1,1,"west",285.212659063734,566.916782760476,396.172870645455,2738.70844305223,1434.62579907005,702.945312183197,0.59624648549504,0.745984341221386,0.316500792482093,2816.1845785012,-407.092185501262,"absent",0.0278066542119262
"AM:414:NE-2018","AM:414:NE",2018,2,0,"west",NA,"AM",414,"NE",57.51591,-111.34007,1,1,"west",266.489586483213,529.968749927898,348.422009336038,2666.04831301673,1407.58673157358,703.37502030306,0.580980313644534,0.762831433629213,0.310008516236173,2732.73531626824,-431.061343522699,"absent",-0.0315723720819746
"AM:414:NE-2019","AM:414:NE",2019,3,0,"west",NA,"AM",414,"NE",57.51591,-111.34007,1,1,"west",274.542748406803,555.874019236232,368.381275774026,2731.57509504138,1383.99653902488,660.958485436978,0.609748606923991,0.75787420069794,0.329409659728249,2787.22610014617,-361.149778628603,"absent",-0.209709450963677
"AM:414:SE-2013","AM:414:SE",2013,1,NA,"west",NA,"AM",414,"SE",57.51132,-111.3499,1,1,"west",227.919776970424,455.963071277469,289.90697680846,2152.28074238094,1038.7640265252,527.706251572565,0.619445928218855,0.742968266238285,0.371390589996369,2252.37569883529,-212.211693710346,NA,-0.862878740196586
"AM:414:SE-2014","AM:414:SE",2014,3,NA,"west",NA,"AM",414,"SE",57.51132,-111.3499,1,1,"west",248.693206294445,525.318086706572,352.734511391786,2088.18047601299,1130.53901885141,561.364829970548,0.577087482786348,0.698446531860779,0.30989225054322,2257.26358156121,-295.339738398344,NA,0.562217890857033
"AM:414:SE-2015","AM:414:SE",2015,1,0,"west",NA,"AM",414,"SE",57.51132,-111.3499,1,1,"west",352.459626193036,578.167305990322,556.113790876682,2231.74693946062,1550.76162079656,850.950953469162,0.435850895592896,0.58039515401129,0.173275223654113,2728.05536313979,-615.770389151276,"absent",-0.981636792784388
"AM:414:SE-2016","AM:414:SE",2016,3,0,"west",NA,"AM",414,"SE",57.51132,-111.3499,1,1,"west",435.868536123398,684.009359157982,691.552188625556,2077.14196508464,1666.55393009938,1010.94616411051,0.348451722619384,0.498300407007806,0.119188788211697,2848.83042432341,-731.370830264049,"absent",-0.209709450963677
"AM:414:SE-2017","AM:414:SE",2017,1,0,"west",NA,"AM",414,"SE",57.51132,-111.3499,1,1,"west",285.971492156303,532.487605770231,385.796625751782,2644.6649053386,1407.59987786771,682.83583923423,0.589235314180216,0.746367870429363,0.300638380279013,2729.57174202317,-420.435085656197,"absent",0.0278066542119262
"AM:414:SE-2018","AM:414:SE",2018,4,0,"west",NA,"AM",414,"SE",57.51132,-111.3499,1,1,"west",317.722700035371,570.735349139154,430.406975623199,2712.33071621355,1599.19309759075,813.712211242467,0.54040811180635,0.723094346921271,0.261947405014664,2942.31955907763,-564.555040070715,"absent",-0.0315723720819746
"AM:414:SE-2019","AM:414:SE",2019,1,0,"west",NA,"AM",414,"SE",57.51132,-111.3499,1,1,"west",336.152440312243,621.479215672678,487.816884297854,2739.46249274028,1770.09819068721,878.564365915643,0.512723203845918,0.693627719972472,0.218405503468741,3096.28803923894,-679.780754002767,"absent",-0.209709450963677
"AM:420:NW-2013","AM:420:NW",2013,1,NA,"unmineable",NA,"AM",420,"NW",55.73911,-111.23548,0,1,NA,188.275630657176,407.950687679171,307.669639724237,1988.00369178662,1218.68792038824,622.279101849447,0.531233649045674,0.738251534964603,0.248541664428524,2164.49166865349,-468.456622528722,NA,1.27476620638384
"AM:420:NW-2014","AM:420:NW",2014,1,0,"unmineable",NA,"AM",420,"NW",55.73911,-111.23548,0,1,NA,137.214901675393,372.278354685295,211.92550812978,2050.76755580967,988.794175404102,440.55780328884,0.636647675320135,0.806191882321769,0.340425574122388,1979.09135485692,-255.349129352734,"absent",-1.33791095054779
"AM:420:NW-2015","AM:420:NW",2015,3,0,"unmineable",NA,"AM",420,"NW",55.73911,-111.23548,0,1,NA,159.841397102936,328.562869761048,226.845111813493,1486.37858801726,778.735749277491,370.653498701382,0.624177357611804,0.778214565711068,0.350032992852219,1543.66952513959,-190.583493338831,"absent",0.087185680505827
"AM:420:NW-2016","AM:420:NW",2016,1,NA,"unmineable",NA,"AM",420,"NW",55.73911,-111.23548,0,1,NA,147.434028708401,385.294129500118,228.112746794741,2109.86510388872,1081.31937183022,494.178497823373,0.617238976934425,0.802409584388259,0.330206463722557,2099.50965066097,-298.276455195705,NA,-0.625362635020983
"AM:420:NW-2017","AM:420:NW",2017,2,0,"unmineable",NA,"AM",420,"NW",55.73911,-111.23548,0,1,NA,178.996205004005,437.735264101539,298.667204389364,2083.70525076684,1126.09943556881,578.750485733525,0.563961649441101,0.749905811127253,0.290824075736485,2164.63721749673,-379.36126355748,"absent",1.63104036414725
"AM:420:NW-2018","AM:420:NW",2018,2,NA,"unmineable",NA,"AM",420,"NW",55.73911,-111.23548,0,1,NA,150.288235176425,381.267160091674,236.665207916102,2019.30640205136,1062.79594329225,502.46420522346,0.593847021488436,0.785371578997935,0.303911795554479,2028.69751349902,-331.712197895674,NA,-0.981636792784388
"AM:420:NW-2019","AM:420:NW",2019,1,NA,"unmineable",NA,"AM",420,"NW",55.73911,-111.23548,0,1,NA,145.110150420624,376.220638009659,268.456222813307,1856.90971451275,1115.85985661619,581.406450376235,0.519541758055329,0.763652668702634,0.282342885276605,1977.5659859111,-425.042152745989,NA,-0.625362635020983
"AM:420:SE-2013","AM:420:SE",2013,1,NA,"unmineable",NA,"AM",420,"SE",55.733836,-111.22586,0,1,NA,191.510548204684,464.807945183009,343.619377989213,2484.52527187529,1276.49028086157,630.903811560969,0.595998776628556,0.752057406090466,0.323589960822376,2507.3075457101,-371.503312426151,NA,1.27476620638384
"AM:420:SE-2014","AM:420:SE",2014,3,0,"unmineable",NA,"AM",420,"SE",55.733836,-111.22586,0,1,NA,135.47770303928,406.607188253057,248.501723798844,2367.18962384139,1069.71996386938,469.00712120469,0.662689620122712,0.800692456682774,0.372900531153203,2229.92563046828,-230.439072196826,"absent",-1.33791095054779
"AM:420:SE-2015","AM:420:SE",2015,4,0,"unmineable",NA,"AM",420,"SE",55.733836,-111.22586,0,1,NA,180.44498361933,473.656590345241,344.186919738487,2413.90617876421,1234.51893157407,610.148446568386,0.597603577629066,0.75002110615747,0.325397923659925,2442.38986195347,-350.364434481702,"absent",0.087185680505827
"AM:420:SE-2016","AM:420:SE",2016,4,NA,"unmineable",NA,"AM",420,"SE",55.733836,-111.22586,0,1,NA,147.658098689456,434.839543394561,280.986976006825,2401.90922256926,1148.48073330142,518.656708715955,0.641341146823838,0.78579206999934,0.349666325476892,2324.44802145855,-283.775738963212,NA,-0.625362635020983
"AM:420:SE-2017","AM:420:SE",2017,1,0,"unmineable",NA,"AM",420,"SE",55.733836,-111.22586,0,1,NA,185.433410831211,476.935064313129,354.149960526812,2361.97304622995,1217.61240052491,602.324816810591,0.598377480260135,0.738587640320464,0.326997235720074,2401.65441182362,-345.408079863788,"absent",1.63104036414725
"AM:420:SE-2018","AM:420:SE",2018,3,NA,"unmineable",NA,"AM",420,"SE",55.733836,-111.22586,0,1,NA,150.042898723163,435.083809196065,301.605606933125,2302.20501746117,1169.91045935709,544.358851323699,0.617076597534703,0.76471233722287,0.327371929444443,2295.00459706142,-327.94472550108,NA,-0.981636792784388
"AM:420:SE-2019","AM:420:SE",2019,4,NA,"unmineable",NA,"AM",420,"SE",55.733836,-111.22586,0,1,NA,147.634074365363,429.638113069383,287.805244770921,2278.93269017996,1088.78880992802,500.942274136916,0.642644030482018,0.767853873695052,0.361851467663029,2256.16004334167,-246.155074003324,NA,-0.625362635020983
"AM:420:SW-2013","AM:420:SW",2013,2,NA,"unmineable",NA,"AM",420,"SW",55.733791,-111.23538,0,1,NA,185.324324153003,436.216208918075,312.917720358735,2492.73898558372,1206.17226835563,577.496803942607,0.621537333228234,0.776266707065375,0.349150872408628,2441.81650229111,-311.28771490456,NA,1.27476620638384
"AM:420:SW-2014","AM:420:SW",2014,4,0,"unmineable",NA,"AM",420,"SW",55.733791,-111.23538,0,1,NA,140.748383296169,385.414493684488,222.267773131992,2460.09691844098,1074.90824097681,456.247454621168,0.667770171488864,0.815864070396807,0.389640575226201,2271.91943858659,-205.233050888169,"absent",-1.33791095054779
"AM:420:SW-2015","AM:420:SW",2015,2,0,"unmineable",NA,"AM",420,"SW",55.733791,-111.23538,0,1,NA,175.771760534319,432.723710618972,302.823078011958,2458.32209834157,1251.70006718284,590.179398166326,0.610021394285202,0.77872673455434,0.325163452931257,2439.85122049987,-364.457725030956,"absent",0.087185680505827
"AM:420:SW-2016","AM:420:SW",2016,3,NA,"unmineable",NA,"AM",420,"SW",55.733791,-111.23538,0,1,NA,133.648823111,333.88852123165,203.115366436398,1899.7099432117,882.581221650919,388.855177850395,0.670147331138285,0.797667932350323,0.385575493352889,1814.66584929278,-202.056254934952,NA,-0.625362635020983
"AM:420:SW-2017","AM:420:SW",2017,3,0,"unmineable",NA,"AM",420,"SW",55.733791,-111.23538,0,1,NA,194.356833824746,468.141804307448,331.167588843272,2542.75929916919,1255.10911524542,602.738747129531,0.61371189188861,0.763338523819246,0.341625188477011,2500.96950201111,-339.385026257023,"absent",1.63104036414725
