project,organization,location,recording_date,recording_time,latitude,longitude,YERAobs,long4,lat4,datetime,syear,sdoy,shod,stod,long3,lat3,numyears,region
Bayne-OSM-YERA-2021,BU,S-P5-20-54,2021-06-02,2:20:00,55.1588,-111.6742,1,-111.6742,55.1588,2021-06-02 2:20,2021,153,2,2.333333,-111.674,55.159,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,P-P5-20-45,2021-06-02,0:40:00,55.14429,-111.6811,1,-111.6811,55.1443,2021-06-02 0:40,2021,153,0,0.6666667,-111.681,55.144,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,EP-26-WI3,2021-07-13,1:20:00,57.0378,-111.9208,0,-111.9208,57.0378,2021-07-13 1:20,2021,194,1,1.333333,-111.921,57.038,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,P-P5-16-43,2021-06-15,0:20:00,54.69222,-110.7666,0,-110.7666,54.6922,2021-06-15 0:20,2021,166,0,0.3333333,-110.767,54.692,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-27-314-CT,2021-07-08,2:00:00,56.23141,-110.832,0,-110.832,56.2314,2021-07-08 2:00,2021,189,2,2,-110.832,56.231,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,W-P5-16-29,2021-06-12,2:40:00,54.67857,-110.7007,0,-110.7007,54.6786,2021-06-12 2:40,2021,163,2,2.666667,-110.701,54.679,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-27-314-SW,2021-07-09,0:00:00,56.22869,-110.8379,0,-110.8379,56.2287,2021-07-09 0:00,2021,190,0,0,-110.838,56.229,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,W-P5-16-29,2021-06-16,0:20:00,54.67857,-110.7007,0,-110.7007,54.6786,2021-06-16 0:20,2021,167,0,0.3333333,-110.701,54.679,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-27-314-NE,2021-07-09,1:00:00,56.2341,-110.8271,0,-110.8271,56.2341,2021-07-09 1:00,2021,190,1,1,-110.827,56.234,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-27-314-CT,2021-07-08,2:20:00,56.23141,-110.832,0,-110.832,56.2314,2021-07-08 2:20,2021,189,2,2.333333,-110.832,56.231,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,W-P5-16-29,2021-06-16,2:40:00,54.67857,-110.7007,0,-110.7007,54.6786,2021-06-16 2:40,2021,167,2,2.666667,-110.701,54.679,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,W-P5-20-58,2021-06-03,1:40:00,55.16018,-111.6633,0,-111.6633,55.1602,2021-06-03 1:40,2021,154,1,1.666667,-111.663,55.16,1,UNMINEABLE
